set,n_graphs,signature,target,target_desc,determined,H_target,I_signature_target,H_target_given_signature
chem_n8,2391,deck:sombor,taus,number of spanning trees,False,7.991713,7.678312,0.3134
chem_n8,2391,deck:sombor,tri,number of triangles,False,2.711663,2.442185,0.269477
chem_n8,2391,deck:sombor,wiener,Wiener index,False,5.197528,5.004748,0.19278
chem_n8,2391,deck:sombor,n,order n,False,0.91807,0.917233,0.000836
chem_n8,2391,deck:sombor,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:sombor,C,Sombor deletion correction C(G),False,8.917084,8.916248,0.000836
chem_n8,2391,deck:sombor_inv,ds,degree sequence of G,False,6.358748,6.357912,0.000836
chem_n8,2391,deck:sombor_inv,ds_sig,multiset of degree sequences of the cards,False,8.917921,8.917084,0.000836
chem_n8,2391,deck:sombor_inv,et,multiset of edge degree-types of G,False,8.917921,8.917084,0.000836
chem_n8,2391,deck:sombor_inv,so,Sombor index SO(G),False,8.917921,8.917084,0.000836
chem_n8,2391,deck:sombor_inv,dd,multiset {Delta_e},False,10.910835,10.909998,0.000836
chem_n8,2391,deck:sombor_inv,taus,number of spanning trees,False,7.991713,7.678312,0.3134
chem_n8,2391,deck:sombor_inv,tri,number of triangles,False,2.711663,2.442185,0.269477
chem_n8,2391,deck:sombor_inv,wiener,Wiener index,False,5.197528,5.004748,0.19278
chem_n8,2391,deck:sombor_inv,n,order n,False,0.91807,0.917233,0.000836
chem_n8,2391,deck:sombor_inv,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:sombor_inv,C,Sombor deletion correction C(G),False,8.917084,8.916248,0.000836
chem_n8,2391,deck:randic,ds,degree sequence of G,False,6.358748,6.357912,0.000836
chem_n8,2391,deck:randic,ds_sig,multiset of degree sequences of the cards,False,8.917921,8.917084,0.000836
chem_n8,2391,deck:randic,et,multiset of edge degree-types of G,False,8.917921,8.917084,0.000836
chem_n8,2391,deck:randic,so,Sombor index SO(G),False,8.917921,8.917084,0.000836
chem_n8,2391,deck:randic,dd,multiset {Delta_e},False,10.910835,10.909998,0.000836
chem_n8,2391,deck:randic,taus,number of spanning trees,False,7.991713,7.678312,0.3134
chem_n8,2391,deck:randic,tri,number of triangles,False,2.711663,2.442185,0.269477
chem_n8,2391,deck:randic,wiener,Wiener index,False,5.197528,5.004748,0.19278
chem_n8,2391,deck:randic,n,order n,False,0.91807,0.917233,0.000836
chem_n8,2391,deck:randic,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:randic,C,Sombor deletion correction C(G),False,8.917084,8.916248,0.000836
chem_n8,2391,deck:abc,ds,degree sequence of G,False,6.358748,6.357912,0.000836
chem_n8,2391,deck:abc,ds_sig,multiset of degree sequences of the cards,False,8.917921,8.917084,0.000836
chem_n8,2391,deck:abc,et,multiset of edge degree-types of G,False,8.917921,8.917084,0.000836
chem_n8,2391,deck:abc,so,Sombor index SO(G),False,8.917921,8.917084,0.000836
chem_n8,2391,deck:abc,dd,multiset {Delta_e},False,10.910835,10.909162,0.001673
chem_n8,2391,deck:abc,taus,number of spanning trees,False,7.991713,7.677476,0.314237
chem_n8,2391,deck:abc,tri,number of triangles,False,2.711663,2.442185,0.269477
chem_n8,2391,deck:abc,wiener,Wiener index,False,5.197528,5.003911,0.193616
chem_n8,2391,deck:abc,n,order n,False,0.91807,0.917233,0.000836
chem_n8,2391,deck:abc,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:abc,C,Sombor deletion correction C(G),False,8.917084,8.916248,0.000836
chem_n8,2391,deck:m1,ds,degree sequence of G,False,6.358748,6.243042,0.115706
chem_n8,2391,deck:m1,ds_sig,multiset of degree sequences of the cards,False,8.917921,8.750483,0.167438
